source,from,to
0,34,5
0,31,5
0,26,10
0,21,5
0,11,5
0,45,5
0,3,5
1,29,10
1,33,10
1,32,10
1,24,10
1,16,5
1,21,5
1,27,10
1,47,10
1,9,10
1,20,10
1,7,5
1,41,5
1,3,5
1,44,10
1,11,10
1,42,5
2,27,10
2,7,5
2,41,5
11,2,10
2,44,10
2,9,10
2,40,10
2,3,5
3,45,10
3,39,10
3,31,10
3,7,5
17,3,10
16,3,10
3,42,10
13,3,10
11,3,10
4,7,10
4,3,5
4,44,10
5,9,10
34,6,10
6,44,5
6,16,5
18,6,10
6,3,5
6,7,5
27,6,10
25,6,10
6,22,5
6,41,5
6,31,5
6,39,5
6,42,5
6,11,5
17,6,10
6,21,5
11,7,10
25,7,10
7,18,5
21,7,10
7,12,5
22,7,10
7,16,5
7,13,5
44,7,10
43,7,10
40,7,10
8,22,5
8,7,5
8,42,5
17,8,10
25,8,10
8,45,5
8,44,5
8,18,5
8,21,5
8,11,5
8,3,5
8,40,5
9,33,5
29,9,10
23,9,10
32,9,10
28,9,10
27,9,10
47,9,10
9,7,5
44,9,10
9,36,5
20,9,10
17,9,10
9,0,5
9,22,5
19,9,10
9,41,5
40,9,10
9,42,5
9,38,5
11,9,10
9,39,5
9,45,5
9,3,5
9,14,5
11,34,10
11,33,10
11,31,10
11,43,10
11,27,10
11,26,10
11,25,10
11,37,10
11,18,5
11,17,10
11,20,10
11,14,10
11,12,10
11,21,10
11,38,10
11,22,10
11,47,10
11,16,10
11,44,10
11,39,10
11,36,10
11,45,10
11,41,10
11,13,5
11,42,10
12,39,5
12,17,5
12,31,5
12,45,5
12,22,10
12,16,5
12,37,10
12,13,5
12,42,5
12,3,5
13,16,10
14,27,10
14,7,5
14,38,10
14,36,5
14,44,10
14,41,5
14,42,5
14,3,5
15,7,5
15,44,10
15,17,10
15,11,5
15,3,5
16,39,5
16,17,10
16,31,10
16,45,10
16,32,10
16,18,5
16,27,10
16,42,10
16,37,10
16,22,10
16,44,10
16,41,5
17,36,5
17,23,10
17,43,10
17,13,5
17,25,5
17,39,5
17,18,10
17,26,10
17,35,10
17,7,5
17,22,10
17,42,10
17,31,10
17,34,10
17,21,10
17,44,5
17,41,5
18,25,10
18,0,5
18,36,5
18,40,10
18,21,10
18,22,10
18,39,10
18,3,5
19,14,5
20,41,5
20,32,10
20,29,10
20,27,10
20,47,10
20,3,5
20,44,10
21,25,10
21,33,5
21,34,10
21,31,10
21,16,5
21,26,10
21,22,10
21,39,10
21,41,5
21,45,10
21,44,10
21,3,5
22,33,10
22,45,10
22,31,10
22,25,10
22,41,10
22,44,10
22,39,10
22,3,5
23,35,5
23,37,10
23,44,5
23,7,5
24,27,10
24,37,10
24,13,5
24,3,5
24,44,5
25,34,10
25,35,10
25,45,10
25,27,10
25,44,10
25,39,10
25,3,5
