source,target,weight
0,87,10
0,22,5
0,95,10
0,96,10
0,63,10
0,64,10
0,85,10
0,48,10
0,78,10
0,75,10
0,70,10
0,31,10
0,40,10
0,36,5
0,60,10
0,43,5
0,35,5
0,10,10
0,12,5
0,11,10
0,5,10
0,8,10
0,2,10
0,1,10
1,49,10
1,75,5
1,22,10
1,91,10
1,85,5
1,33,10
1,31,5
1,58,5
1,26,10
1,23,10
1,59,5
1,21,10
1,82,5
1,80,5
1,79,10
1,48,10
1,77,10
1,7,10
1,78,10
1,70,10
1,34,10
1,129,10
1,130,10
1,36,5
1,16,10
1,44,10
1,63,10
1,69,10
1,60,10
1,53,10
1,64,10
1,24,5
1,19,10
1,18,10
1,8,5
1,35,5
1,27,10
1,39,10
1,37,10
1,15,10
1,17,10
1,11,10
1,10,10
1,4,10
1,2,10
1,3,10
1,6,10
2,84,5
2,87,10
2,96,10
2,41,10
2,85,10
19,2,10
2,80,5
2,74,5
2,82,5
2,48,10
2,75,10
2,78,10
2,70,10
2,37,10
2,31,10
2,63,10
2,64,10
2,53,10
2,60,10
2,40,10
2,36,5
2,35,10
2,4,10
2,24,5
10,2,10
18,2,10
2,3,10
11,2,10
17,2,10
12,2,10
2,5,10
2,8,10
3,73,10
3,85,5
3,33,5
3,74,5
3,49,10
3,65,10
3,7,10
3,48,10
3,91,10
109,3,10
26,3,10
3,80,5
3,82,5
3,27,5
3,76,10
3,44,10
3,77,10
3,70,5
3,79,10
3,72,5
3,78,10
130,3,10
3,63,10
21,3,10
3,53,10
16,3,10
3,37,10
18,3,10
3,64,10
19,3,10
3,9,5
3,12,5
17,3,10
3,60,10
28,3,10
15,3,10
3,4,10
4,16,5
4,73,10
37,4,10
21,4,10
103,4,10
4,74,5
4,91,10
4,75,5
4,79,5
4,19,5
4,82,5
23,4,10
4,44,10
4,54,5
4,64,5
4,78,10
4,33,5
4,77,10
4,70,5
4,80,5
4,48,10
28,4,10
27,4,10
4,31,5
4,8,5
4,0,5
17,4,10
31,5,10
5,85,10
5,75,10
5,70,10
21,5,10
5,36,5
41,5,10
10,5,10
35,5,10
40,5,10
11,5,10
5,12,5
5,8,10
6,47,5
55,6,10
46,6,10
50,6,10
42,6,10
26,6,10
57,6,10
17,6,10
23,6,10
44,6,10
11,6,10
7,58,5
7,43,5
7,9,5
7,15,5
22,7,10
61,7,10
65,7,10
7,13,5
49,7,10
7,103,5
21,7,10
7,33,5
7,91,10
7,76,10
7,72,10
7,85,10
7,74,10
7,75,5
7,82,10
7,80,5
7,79,10
48,7,10
37,7,10
7,78,10
7,70,5
123,7,10
7,40,5
7,77,10
7,63,5
19,7,10
53,7,10
60,7,10
7,5,5
7,31,5
7,59,5
7,36,5
7,12,5
18,7,10
34,7,10
64,7,10
7,0,5
7,2,5
7,16,5
7,44,5
28,7,10
23,7,10
7,11,5
7,35,5
7,8,5
17,7,10
8,96,10
8,85,10
8,17,5
48,8,10
75,8,10
70,8,10
43,8,10
8,36,5
11,8,10
27,8,10
10,8,10
31,8,10
35,8,10
8,12,5
24,8,10
9,65,5
9,27,5
58,9,10
33,9,10
16,9,10
19,9,10
10,96,10
10,48,10
10,31,5
10,85,10
10,75,10
10,78,5
10,70,10
10,24,5
10,12,10
10,35,10
10,11,5
11,12,10
11,24,5
12,41,10
12,85,10
12,75,10
12,20,5
12,70,10
12,60,10
12,63,10
12,35,10
12,53,10
12,36,5
12,40,10
13,48,5
13,33,10
13,82,5
13,22,10
13,36,10
