id,handle,followers_count,friends_count,isProxy
0,"Greenpeace",1910605,4222,0
1,"greenpeace_de",450050,1707,0
2,"350",387324,19320,0
3,"campact",155843,1020,0
4,"utopia",28925,443,0
5,"ClimateReality",632054,3794,0
6,"photovoltaik",4772,1688,0
7,"KathrinAnna",19955,2119,0
8,"UNFCCC",956625,1050,0
9,"Klaus_Mueller",21990,360,0
10,"kuminaidoo",53950,1661,0
11,"guardianeco",525162,7534,0
12,"billmckibben",401788,1434,0
13,"jagodamarinic",37732,1551,0
14,"wenig_worte",10421,33,0
15,"a_watch",106594,2889,0
16,"CKemfert",68345,782,0
17,"klimareport",60547,917,0
18,"kohleprotest",4530,1777,0
19,"klima_allianz",16382,1920,0
20,"tonyseba",26289,92,0
21,"TerliWetter",65984,1762,0
22,"_Katja_Diehl_",51561,4596,0
23,"solarpapst",9649,2680,0
24,"UNFCCCwebcast",37030,6,0
25,"KarlsruheTweets",5952,830,0
26,"bEEmerkenswert",14627,3003,0
27,"BMUV",181856,304,0
28,"hoffmannkathrin",5610,2387,0
29,"Stadt_Karlsruhe",11815,10,0
30,"MicialMedia",2208,2430,0
31,"IPCC_CH",391444,906,0
32,"inkamagazin",2179,1412,0
33,"beyond_ideology",127730,719,0
34,"ausgeCO2hlt",4053,435,0
35,"CFigueres",164815,502,0
36,"rahmstorf",135522,215,0
37,"urgewald",7515,1971,0
38,"Klima_Mahner",3605,1290,0
39,"greenpeace_ka",505,38,0
40,"MichaelEMann",216974,1706,0
41,"KetanJ0",64926,9439,0
42,"BSWSolareV",6982,335,0
43,"PIK_Climate",26558,264,0
44,"VQuaschning",116241,135,0
45,"LongoFL",4348,2946,0
46,"EUROSOLAR_D",3330,797,0
47,"sfv_de",1498,270,0
48,"Luisamneubauer",419612,1585,0
49,"SaraSchurmann",23724,3220,0
50,"pvmagazine_de",5633,255,0
51,"Hornschild",13915,300,0
52,"_Kinderrechte_",21093,19845,0
53,"350Deutschland",6521,1604,0
54,"DerGraslutscher",70617,865,0
55,"MetropolSolarRN",2372,2782,0
56,"jamiearbib",1543,100,0
57,"HJFell",7021,268,0
58,"BrigitteKnopf",13461,1070,0
59,"HambiBleibt",28289,1254,0
60,"350Europe",13581,1508,0
61,"EJF_de",15684,4463,0
62,"neeeeelllee",20,31,0
63,"DivestBerlin",3464,1113,0
64,"Ende__Gelaende",68230,1232,0
65,"AgoraEW",21278,496,0
66,"schmidt_chen",407,287,0
67,"FossilFreeEssen",239,204,0
68,"krisztinaandre",695,1755,0
69,"klimafakten",12418,1001,0
70,"GretaThunberg",4996015,2842,0
71,"SolarOle",290,984,0
72,"NickHeubeck",5727,919,0
73,"NurderK",33860,717,0
74,"tazKlima",11200,195,0
75,"Fridays4future",141497,1272,0
76,"ConstZerger",7535,923,0
77,"ExtinctionR_DE",29486,5263,0
78,"FridayForFuture",242838,1006,0
79,"AlleDoerfer",16200,683,0
80,"parents4future",53718,41638,0
81,"DrAndreasS",3216,926,0
82,"sciforfuture",114106,1596,0
83,"P4F_Karlsruhe",425,535,0
84,"FFF_Karlsruhe",1637,368,0
85,"vanessa_vash",243707,2718,0
86,"IBartelborth",242,353,0
87,"FridaysNigeria",3349,8273,0
88,"b_friederike",700,406,0
89,"klimawoche",591,585,0
90,"Badenerunterwe1",733,898,0
91,"_GermanZero",10549,1970,0
92,"xr__ka",240,205,0
93,"Nasenbr13",154,344,0
94,"FossilFreeNeuss",34,97,0
95,"parents4futureG",4701,2623,0
96,"fossiltreaty",12515,5709,0
97,"AutokorrekturKA",326,5,0
98,"FreeLuneburg",210,411,0
99,"Dt_ErdWaerme",158,215,0
100,"KlimaHans",18,105,0
101,"kitaforfuture",148,65,0
102,"solardrom",8,21,0
103,"KlimaVorAcht",36515,808,0
104,"Efeu62112443",434,783,0
105,"HolzheuStefan",19787,563,0
106,"unverpacktKA",79,55,0
107,"VCD_Karlsruhe",165,101,0
108,"dieklimawette",429,317,0
109,"NichtMitSpieler",357,402,0
110,"HalleZero",337,245,0
111,"ClimawareGlobal",171,235,0
112,"KlimakollektivK",231,302,0
113,"RadkurierKA",38,80,0
114,"Petitions4F",1167,953,0
115,"wattbewerb",3034,255,0
116,"klimacamp_ka",256,32,0
117,"MKohlefrei",102,262,0
118,"KonFreddie",2,132,0
119,"LetsChangeman",258,2059,0
120,"Nadine96044216",6,55,0
121,"Blackbird19886",73,720,0
122,"packsdrauf",198,82,0
123,"EvaStegen",4058,570,0
124,"bundnis",1915,1177,0
125,"CampusRadioKA",522,360,0
126,"rethink_x",14570,767,0
127,"HalleVerkehrt",11310,8955,0
128,"SandraHerden",158,630,0
129,"carlamller10ant",1137,1643,0
130,"FF_Goe",594,1155,0
131,"M_Hundhausen",18198,2590,0
132,"PetMoser",525,524,0
133,"JVos63",3099,1428,0
134,"taz_oeko",1483,13,0
